conf,id,Ead,xV,xN,xH,Z,rmsd,rmaxsd,dminN,dminH,M,chi,q,mu,Eg,CNN,dCNN,CNS,dCNS,aminS,amaxS,aminN,amaxN,adispN,adispH,lmin,lmax
3N_2H_8x8_pyridinic,0,0.10526074470109666,0.4464285714285714,1.345291479820628,0.8968609865470852,7,0.20700589763677193,0.49836102035000174,0.0,2.6716724010327684,1,0.5235987755982988,-0.519,0.0,1.569551,2.0,1.0,2.0,1.0,2.1182546309246044,4.164930676254982,2.1182546309246044,4.164930676254982,nan,2.0829872380518695,1.3515710492814916,1.3595551473996705
3N_2H_8x8_pyridinic,1,1.1627447516606817,0.4464285714285714,1.345291479820628,0.8968609865470852,6,0.04411764556793607,0.4157314593499999,1.348412401169758,2.9407177075286812,1,0.5235987755982988,0.216,0.0,1.569551,2.0,0.33333333333333304,2.6666666666666665,1.0,2.0752258650042283,2.1123780158954735,2.107986532902431,4.175198774277155,1.5574963565311004,2.6590407380557224,1.3472943411746499,1.4522597528481023
3N_2H_8x8_pyridinic,2,0.6003178495661431,0.4464285714285714,1.345291479820628,0.8968609865470852,6,0.39089642884230225,0.778407018250002,2.427634357478199,2.4580683251038598,1,0.5235987755982988,-0.06,0.0,1.569551,2.0,0.0,3.0,1.0,2.0423250929208123,2.1216993088703275,2.1182546309246044,4.164930676254982,0.08331505493464908,1.0944480227246252,1.434803345842136,1.459456595042859
3N_2H_8x8_pyridinic,3,0.965893374333597,0.4464285714285714,1.345291479820628,0.8968609865470852,6,0.3715868143992551,0.6963501187500034,7.6729172211417636,10.18051023778941,1,0.5235987755982988,0.001,0.0,1.569551,2.0,0.0,3.0,1.0,2.081153727872311,2.0962828441532078,2.1182546309246044,4.164930676254982,1.9245525536463421,1.9996567958286395,1.427970519374607,1.429220890240738
4N_2H_8x8_pyridinic,0,-1.5152473490866976,0.8928571428571428,1.8018018018018018,0.9009009009009009,7,0.03583038535143944,0.17778457750000154,0.0,3.912856012696896,2,0.5235987755982988,-0.422,0.125,1.17588,2.0,1.0,2.0,1.0,2.09288103166138,4.190304275518207,2.09288103166138,4.190304275518207,nan,0.2341228874199235,1.337683626782171,1.3569080324193288
4N_2H_8x8_pyridinic,1,1.315356032659615,0.8928571428571428,1.8018018018018018,0.9009009009009009,6,0.18576071342810363,0.3666209696999987,2.4340544803215667,5.087015151866941,2,0.5235987755982988,-0.027,-0.026,1.17588,2.0,0.0,3.0,1.0,2.058128666876765,2.1253270227319963,2.1033738075340698,4.179811499645516,1.049442556998861,1.0333250810301982,1.4241922804011182,1.432438472709458
4N_2H_8x8_pyridinic,2,-0.26804173149839494,0.8928571428571428,1.8018018018018018,0.9009009009009009,6,0.38193542438819644,0.7585063742499987,2.4321794122518763,5.092846200132557,2,0.5235987755982988,-0.035,0.114,1.17588,2.0,0.0,3.0,1.0,2.0465304340834085,2.1148589950827996,2.09288103166138,4.190304275518207,1.0884022167071052,0.25486077012007363,1.4402144327265987,1.4679754140098853
4N_2H_8x8_pyridinic,3,0.9779153917121762,0.8928571428571428,1.8018018018018018,0.9009009009009009,6,0.36475649339560495,0.6884614544999987,6.491665337179888,6.491665337179888,2,0.5235987755982988,0.001,-0.024,1.17588,3.0,0.0,3.0,1.0,2.075726146169702,2.101258280108418,2.0027537140611402,2.1301594065373894,2.8188547077244124,2.8188547077244124,1.4283471260192602,1.4347620629028388
1N_3H_14x0_graphitic,0,0.02590877041123847,0.0,0.4464285714285714,1.3392857142857142,6,0.03953427863651038,0.3433435018500033,2.897572808660556,1.4387362844242875,2,0.0,0.004,0.157,0.976224,3.333333333333333,0.0,3.333333333333333,1.0,2.0462820218711095,2.1267528233367403,2.020116678890457,2.14402145284111,3.1196495691012265,2.034833608070969,1.4071707474097777,1.518148501774531
1N_3H_14x0_graphitic,1,1.4338043341239246,0.0,0.4464285714285714,1.3392857142857142,7,0.024052100663356325,0.3700264130500015,0.0,1.4203639657653229,2,0.0,-0.279,0.059,0.976224,3.333333333333333,1.0,3.333333333333333,1.0,2.020116678890457,2.14402145284111,2.020116678890457,2.14402145284111,nan,1.124800491662698,1.3940685047584993,1.5154509787943082
1N_3H_14x0_graphitic,2,0.7154966059065004,0.0,0.4464285714285714,1.3392857142857142,6,0.03417336196675205,0.3916840831499986,5.7963959535908405,6.596741188344472,2,0.0,0.001,0.073,0.976224,3.333333333333333,0.0,3.0,1.0,2.070655037051574,2.098340127016692,2.020116678890457,2.14402145284111,2.111782950607202,1.6794118881803388,1.4257563986640045,1.4284103619891635
1N_3H_14x0_graphitic,3,0.8734400325790266,0.0,0.4464285714285714,1.3392857142857142,6,0.03166308092042868,0.41744480140000295,7.592642004234668,6.294564163609416,2,0.0,-0.0,0.065,0.976224,3.333333333333333,0.0,3.0,1.0,2.0713252068801133,2.097229392768839,2.020116678890457,2.14402145284111,2.809974854963515,2.480882164704844,1.4284636553114722,1.4316055817973696
1N_3H_14x0_pyridinic,0,-2.1288736921085087,0.4464285714285714,0.4484304932735426,1.345291479820628,6,0.22435806823174673,1.6520075719000014,2.664260384221086,1.5994497951147961,2,0.0,0.013,-0.109,1.169338,3.0,0.0,3.333333333333333,-0.33333333333333304,1.8177791397739853,2.4578045770296812,1.8427943534174385,1.8745848837285433,0.4974801556299831,1.521231454110012,1.4145236651814344,1.6245687342731496
1N_3H_14x0_pyridinic,1,1.8619223200131536,0.4464285714285714,0.4484304932735426,1.345291479820628,6,0.04136556969067219,0.32742141444999895,2.3512608200055665,2.3512608200055665,2,0.0,-0.012,-0.066,1.169338,3.0,0.0,3.0,1.0,2.0304953312511107,2.1461493248851635,1.8427943534174385,1.8745848837285433,1.476526983368636,1.476526983368636,1.414696502251184,1.450908828498557
